"County","State","Outbreak Date","Flock Type","Flock Size"
"Riverside","California","12-31-2024","Commercial Table Egg Layer","181300"
"Ottawa","Michigan","12-31-2024","Commercial Turkey Meat Bird","23400"
"Ottawa","Michigan","12-31-2024","Commercial Turkey Meat Bird","29400"
"Jackson","Michigan","12-31-2024","WOAH Non-Poultry","9"
"Spartanburg","South Carolina","12-31-2024","Commercial Upland Gamebird Producer","920"
"Miner","South Dakota","12-31-2024","WOAH Poultry","1500"
"Butte","California","12-31-2024","WOAH Non-Poultry","70"
"Johnson","Nebraska","12-30-2024","Commercial Broiler Production","209100"
"Copiah","Mississippi","12-30-2024","Commercial Broiler Production","210000"
"Clay","Arkansas","12-30-2024","Commercial Broiler Production","227500"
"Tipton","Tennessee","12-30-2024","WOAH Non-Poultry","10"
"Twin Falls","Idaho","12-30-2024","WOAH Non-Poultry","30"
"Edmunds","South Dakota","12-30-2023","Commercial Upland Gamebird Producer","1400"
"Snohomish","Washington","12-30-2022","WOAH Poultry","180"
"Sanilac","Michigan","12-30-2022","WOAH Non-Poultry","30"
"Carson","Texas","12-29-2023","WOAH Non-Poultry","30"
"Mcintosh","North Dakota","12-29-2023","WOAH Non-Poultry","110"
"Pierce","Washington","12-29-2022","WOAH Non-Poultry","40"
"Marin","California","12-28-2023","Commercial Table Egg Pullets","151000"
"Audrain","Missouri","12-28-2023","WOAH Poultry","330"
"Sonoma","California","12-28-2023","Commercial Table Egg Layer","52400"
"Sonoma","California","12-28-2023","Commercial Table Egg Layer","37300"
"Missoula","Montana","12-28-2023","WOAH Non-Poultry","6"
"Weakley","Tennessee","12-28-2022","Commercial Broiler Breeder","19000"
"Weakley","Tennessee","12-28-2022","Commercial Broiler Breeder","43600"
"Elk","Kansas","12-28-2022","WOAH Non-Poultry","30"
"Stanislaus","California","12-27-2024","Commercial Broiler Production","101700"
"Sacramento","California","12-27-2024","Commercial Broiler Production","153800"
"Burnett","Wisconsin","12-27-2024","Commercial Turkey Meat Bird","18600"
"Pemiscot","Missouri","12-27-2024","WOAH Non-Poultry","70"
"Sheridan","Wyoming","12-27-2024","WOAH Non-Poultry","0"
"Cooper","Missouri","12-27-2024","Commercial Turkey Breeder Hens","14900"
"Ottawa","Michigan","12-27-2024","Commercial Turkey Meat Bird","113200"
"Darke","Ohio","12-27-2024","Commercial Table Egg Layer","931300"
"Coffey","Kansas","12-27-2024","WOAH Non-Poultry","50"
"Anderson","Kansas","12-27-2024","WOAH Non-Poultry","40"
"Hardin","Ohio","12-27-2023","Commercial Table Egg Pullets","1363900"
"Garfield","Oklahoma","12-27-2023","WOAH Non-Poultry","30"
"Northumberland","Pennsylvania","12-27-2023","Commercial Raised for Release Upland Game Bird","98300"
"Todd","Minnesota","12-27-2023","Commercial Turkey Meat Bird","78800"
"Muskegon","Michigan","12-27-2023","Commercial Turkey Meat Bird","31500"
"Phillips","Kansas","12-26-2024","WOAH Non-Poultry","10"
"Merced","California","12-26-2023","Commercial Table Egg Layer","709000"
"Cass","Missouri","12-24-2024","WOAH Non-Poultry","60"
"San Joaquin","California","12-24-2024","Commercial Table Egg Layer","627800"
"Dade","Missouri","12-24-2024","WOAH Non-Poultry","90"
"Stanislaus","California","12-24-2024","Commercial Table Egg Layer","392100"
"Adair","Oklahoma","12-24-2024","Commercial Turkey Meat Bird","45000"
"Franklin","Vermont","12-24-2024","WOAH Non-Poultry","20"
"Riverside","California","12-24-2024","Commercial Table Egg Layer","1105500"
"Adair","Oklahoma","12-24-2024","Commercial Turkey Meat Bird","81400"
"El Dorado","California","12-23-2024","WOAH Non-Poultry","30"
"Lawrence","Illinois","12-23-2024","Commercial Turkey Meat Bird","41400"
"Ottawa","Michigan","12-23-2024","Commercial Turkey Meat Bird","75500"
"Glenn","California","12-22-2022","Commercial Upland Gamebird Producer","32000"
"Dodge","Nebraska","12-21-2023","WOAH Non-Poultry","40"
"Edmunds","South Dakota","12-21-2023","Commercial Upland Gamebird Producer","3800"
"Umatilla","Oregon","12-21-2022","WOAH Non-Poultry","10"
"Bates","Missouri","12-21-2022","WOAH Non-Poultry","30"
"Weakley","Tennessee","12-21-2022","WOAH Poultry","28800"
"St. Clair","Illinois","12-21-2022","WOAH Non-Poultry","60"
"Sedgwick","Kansas","12-20-2024","WOAH Non-Poultry","30"
"Cooper","Missouri","12-20-2024","Commercial Turkey Breeder Hens","13000"
"Houston","Minnesota","12-20-2024","WOAH Non-Poultry","60"
"Greene","Mississippi","12-20-2024","Commercial Broiler Breeder","26000"
"Craighead","Arkansas","12-20-2024","WOAH Non-Poultry","50"
"Chippewa","Minnesota","12-20-2024","Commercial Turkey Meat Bird","54800"
"Benton","Oregon","12-20-2023","WOAH Non-Poultry","50"
"Charles Mix","South Dakota","12-20-2023","Commercial Upland Gamebird Producer","50"
"Merced","California","12-20-2023","Commercial Table Egg Layer","243300"
"Merced","California","12-20-2023","Commercial Turkey Meat Bird","73700"
"Mahaska","Iowa","12-20-2023","WOAH Non-Poultry","30"
"Weld","Colorado","12-20-2022","Commercial Table Egg Layer","239700"
