Case-Acc #,Band No. ,Species,Scientific Name,Order,Family,Capture Status,Age,Sex,Location,Region,Date Collected,Season,Year,Sample 1,Result,Ct,PCR Date,Final HA Result,MA PCR of Egg Fluid
CDX16-0603,4109163,Eurasian Oystercatcher,Haematopus ostralegus,Charadriiformes,Haematopodidae,N,2CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,P,37.27,12/3/2010,N,
CDX16-0627,766088,Ruddy Turnstone,Arenaria interpres,Charadriiformes,Scolopacidae,N,1CY,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,P,38.84,12/3/2010,N,
CDX16-0649,257003,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,4CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,P,40.58,12/3/2010,N,
CDX16-0626,766087,Ruddy Turnstone,Arenaria interpres,Charadriiformes,Scolopacidae,N,2CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,P,41.45,12/3/2010,N,
CDX16-0647,267892,Glaucous Gull,Larus hyperboreus,Charadriiformes,Laridae,N,4CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,P,41.5,12/3/2010,N,
CDX16-0601,4109161,Eurasian Oystercatcher,Haematopus ostralegus,Charadriiformes,Haematopodidae,N,1CY,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0602,4109162,Eurasian Oystercatcher,Haematopus ostralegus,Charadriiformes,Haematopodidae,N,2CY,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0604,4109164,Eurasian Oystercatcher,Haematopus ostralegus,Charadriiformes,Haematopodidae,N,2CY,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0605,4109165,Eurasian Oystercatcher,Haematopus ostralegus,Charadriiformes,Haematopodidae,N,2CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0606,4109166,Eurasian Oystercatcher,Haematopus ostralegus,Charadriiformes,Haematopodidae,N,2CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0607,497845,Eurasian Oystercatcher,Haematopus ostralegus,Charadriiformes,Haematopodidae,N,2CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0608,4109167,Eurasian Oystercatcher,Haematopus ostralegus,Charadriiformes,Haematopodidae,N,2CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0609,470468,Eurasian Oystercatcher,Haematopus ostralegus,Charadriiformes,Haematopodidae,N,2CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0610,4109168,Eurasian Oystercatcher,Haematopus ostralegus,Charadriiformes,Haematopodidae,N,2CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0611,493654,Eurasian Oystercatcher,Haematopus ostralegus,Charadriiformes,Haematopodidae,N,2CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0612,4109169,Eurasian Oystercatcher,Haematopus ostralegus,Charadriiformes,Haematopodidae,N,2CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0613,4109170,Eurasian Oystercatcher,Haematopus ostralegus,Charadriiformes,Haematopodidae,N,2CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0614,583420,Black-headed Gull,Chroicocephalus ridibundus,Charadriiformes,Laridae,N,1CY,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0615,766076,Ruddy Turnstone,Arenaria interpres,Charadriiformes,Scolopacidae,N,2CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0616,766077,Ruddy Turnstone,Arenaria interpres,Charadriiformes,Scolopacidae,N,2CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0617,766078,Ruddy Turnstone,Arenaria interpres,Charadriiformes,Scolopacidae,N,1CY,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0618,766079,Ruddy Turnstone,Arenaria interpres,Charadriiformes,Scolopacidae,N,1CY,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0619,766080,Ruddy Turnstone,Arenaria interpres,Charadriiformes,Scolopacidae,N,2CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0620,766081,Ruddy Turnstone,Arenaria interpres,Charadriiformes,Scolopacidae,N,2CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0621,766082,Ruddy Turnstone,Arenaria interpres,Charadriiformes,Scolopacidae,N,2CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0622,766083,Ruddy Turnstone,Arenaria interpres,Charadriiformes,Scolopacidae,N,1CY,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0623,766084,Ruddy Turnstone,Arenaria interpres,Charadriiformes,Scolopacidae,N,2CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0624,766085,Ruddy Turnstone,Arenaria interpres,Charadriiformes,Scolopacidae,N,2CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0625,766086,Ruddy Turnstone,Arenaria interpres,Charadriiformes,Scolopacidae,N,2CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0628,766089,Ruddy Turnstone,Arenaria interpres,Charadriiformes,Scolopacidae,N,1CY,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0629,766090,Ruddy Turnstone,Arenaria interpres,Charadriiformes,Scolopacidae,N,2CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0630,766091,Ruddy Turnstone,Arenaria interpres,Charadriiformes,Scolopacidae,N,1CY,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0631,766092,Ruddy Turnstone,Arenaria interpres,Charadriiformes,Scolopacidae,N,1CY,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
CDX16-0632,766093,Ruddy Turnstone,Arenaria interpres,Charadriiformes,Scolopacidae,N,2CY+,U,Hafnarfjordur,Southwest,9/5/2010,Autumn,2010,Cloacal Swab,N,No Ct,12/3/2010,,
