"State","County","Collection Date","Date Detected","HPAI Strain","Bird Species","WOAH Classification","Sampling Method","Submitting Agency"
"Michigan","St. Clair","10/22/2025","10/31/2025","EA H5","Blue-winged teal","Wild bird","Hunter harvest","NWDP"
"Michigan","St. Clair","10/22/2025","10/31/2025","EA H5","Green-winged teal","Wild bird","Hunter harvest","NWDP"
"Michigan","St. Clair","10/22/2025","10/31/2025","EA H5","Northern pintail","Wild bird","Hunter harvest","NWDP"
"Michigan","St. Clair","10/22/2025","10/31/2025","EA H5","American wigeon","Wild bird","Hunter harvest","NWDP"
"Michigan","St. Clair","10/22/2025","10/31/2025","EA H5","Mallard","Wild bird","Hunter harvest","NWDP"
"Michigan","St. Clair","10/22/2025","10/31/2025","EA H5","Mallard","Wild bird","Hunter harvest","NWDP"
"Michigan","St. Clair","10/22/2025","10/31/2025","EA H5","Mallard","Wild bird","Hunter harvest","NWDP"
"Michigan","St. Clair","10/22/2025","10/31/2025","EA H5","Mallard","Wild bird","Hunter harvest","NWDP"
"Michigan","St. Clair","10/22/2025","10/31/2025","EA H5","Mallard","Wild bird","Hunter harvest","NWDP"
"Michigan","St. Clair","10/22/2025","10/31/2025","EA H5","Mallard","Wild bird","Hunter harvest","NWDP"
"Michigan","St. Clair","10/22/2025","10/31/2025","EA H5","Mallard","Wild bird","Hunter harvest","NWDP"
"Michigan","St. Clair","10/22/2025","10/31/2025","EA H5","Mallard","Wild bird","Hunter harvest","NWDP"
"Michigan","Tuscola","10/23/2025","10/31/2025","EA H5","Mallard","Wild bird","Hunter harvest","NWDP"
"Michigan","Tuscola","10/23/2025","10/31/2025","EA H5","Mallard","Wild bird","Hunter harvest","NWDP"
"Michigan","Saginaw","10/21/2025","10/31/2025","EA H5","Northern pintail","Wild bird","Hunter harvest","NWDP"
"Michigan","Saginaw","10/21/2025","10/31/2025","EA H5","Northern pintail","Wild bird","Hunter harvest","NWDP"
"South Carolina","Laurens","10/28/2025","10/31/2025","EA H5","Black vulture","Wild bird","Morbidity/Mortality","SC DNR/SCWDS"
"South Carolina","Laurens","10/28/2025","10/31/2025","EA H5","Black vulture","Wild bird","Morbidity/Mortality","SC DNR/SCWDS"
"West Virginia","Monroe","10/17/2025","10/31/2025","EA H5","Black vulture","Wild bird","Morbidity/Mortality","SCWDS"
"West Virginia","Monroe","10/17/2025","10/31/2025","EA H5","Black vulture","Wild bird","Morbidity/Mortality","SCWDS"
