Sewershed_ID,State/Territory,Counties_Served,Detection_Category,Date_the_Site_Began_Sampling_Data,Population_Served,date_updated
"ID:2019","Virginia","Bedford City, Lynchburg City, Amherst, Bedford, Campbell","No Samples in Last Week","2025-06-09","220000","2025-09-25T06:55:24.813712Z"
"ID:1720","Oregon","Clatsop","No Samples in Last Week","2022-12-08","11326","2025-09-25T06:55:24.813712Z"
"ID:2526","Arizona","Yavapai","No Samples in Last Week","2025-09-02","10000","2025-09-25T06:55:24.813712Z"
"ID:438","Illinois","Du Page","No Samples in Last Week","2024-05-20","86000","2025-09-25T06:55:24.813712Z"
"ID:25","Arizona","Maricopa","No Samples in Last Week","2024-11-05","9848","2025-09-25T06:55:24.813712Z"
"ID:1154","Nebraska","Dawes","No Samples in Last Week","2025-01-23","5561","2025-09-25T06:55:24.813712Z"
"ID:1733","Oregon","Lane","No Samples in Last Week","2024-07-15","8925","2025-09-25T06:55:24.813712Z"
"ID:2444","California","San Joaquin","No Samples in Last Week","2025-02-20","67000","2025-09-25T06:55:24.813712Z"
"ID:1751","Oregon","Wasco","No Samples in Last Week","2024-07-11","15276","2025-09-25T06:55:24.813712Z"
"ID:2557","Nevada","Clark","No Samples in Last Week","2025-07-21","15023","2025-09-25T06:55:24.813712Z"
"ID:26","Arizona","Maricopa","No Samples in Last Week","2024-11-05","12542","2025-09-25T06:55:24.813712Z"
"ID:152","California","San Francisco, San Mateo","No Samples in Last Week","2024-11-26","66446","2025-09-25T06:55:24.813712Z"
"ID:1859","Texas","Kaufman, Collin, Dallas","No Samples in Last Week","2024-09-11","370000","2025-09-25T06:55:24.813712Z"
"ID:2278","Texas","Jefferson","No Samples in Last Week","2024-08-06","112193","2025-09-25T06:55:24.813712Z"
"ID:1152","Nebraska","Adams","No Samples in Last Week","2025-01-23","24692","2025-09-25T06:55:24.813712Z"
"ID:1728","Oregon","Hood River","No Samples in Last Week","2022-05-31","7800","2025-09-25T06:55:24.813712Z"
"ID:1742","Oregon","Marion","No Samples in Last Week","2024-07-24","10520","2025-09-25T06:55:24.813712Z"
"ID:1967","Vermont","Chittenden","No Samples in Last Week","2025-08-26","25000","2025-09-25T06:55:24.813712Z"
"ID:1743","Oregon","Marion","No Samples in Last Week","2024-07-23","10840","2025-09-25T06:55:24.813712Z"
"ID:1734","Oregon","Lane","No Samples in Last Week","2024-07-15","235155","2025-09-25T06:55:24.813712Z"
"ID:1176","Nebraska","York","No Samples in Last Week","2025-01-23","8000","2025-09-25T06:55:24.813712Z"
"ID:1731","Oregon","Josephine","No Samples in Last Week","2022-01-13","37725","2025-09-25T06:55:24.813712Z"
"ID:100","California","Del Norte","No Samples in Last Week","2024-11-19","15372","2025-09-25T06:55:24.813712Z"
"ID:1739","Oregon","Malheur","No Samples in Last Week","2022-01-11","12000","2025-09-25T06:55:24.813712Z"
"ID:1748","Oregon","Umatilla","No Samples in Last Week","2021-12-27","17500","2025-09-25T06:55:24.813712Z"
"ID:1735","Oregon","Lincoln","No Samples in Last Week","2022-03-03","8865","2025-09-25T06:55:24.813712Z"
"ID:2521","Oregon","Deschutes","No Samples in Last Week","2021-12-14","92850","2025-09-25T06:55:24.813712Z"
"ID:1169","Nebraska","Stanton, Madison","No Samples in Last Week","2025-01-22","27000","2025-09-25T06:55:24.813712Z"
"ID:213","Colorado","Douglas","No Samples in Last Week","2024-07-11","60571","2025-09-25T06:55:24.813712Z"
"ID:2025","Virginia","Petersburg City","No Samples in Last Week","2024-09-10","33458","2025-09-25T06:55:24.813712Z"
"ID:1172","Nebraska","Sarpy, Douglas","No Samples in Last Week","2025-01-27","600000","2025-09-25T06:55:24.813712Z"
"ID:135","California","Orange","No Samples in Last Week","2024-11-17","1800000","2025-09-25T06:55:24.813712Z"
"ID:1729","Oregon","Jackson","No Samples in Last Week","2022-04-20","21105","2025-09-25T06:55:24.813712Z"
"ID:1852","Texas","Dallas","No Detection","2024-09-17","22191","2025-09-25T06:55:24.813712Z"
"ID:2348","California","Placer","No Detection","2025-06-17","127000","2025-09-25T06:55:24.813712Z"
