Case-Acc #,Avian influenza virus isolate,Hemagglutinin gene,Matrix gene,Neuraminidase gene,Nucleocapsid protein gene,Nuclear export protein and nonstructural protein 1 genes,Polymerase PA and PA-X protein genes,Polymerase PB1 and PB1-F2 protein genes,Polymerase PB2 gene
CDX16-0145,A/lesser black-backed gull/Iceland/0145/2010(H11N2),CY138137,CY138138,CY138139,CY138140,CY138141,CY138142,CY138143,CY138144
CDX16-0713,A/black-headed gull/Iceland/0713/2010(H16N3),CY138145,CY138146,CY138147,CY138148,CY138149,CY138150,CY138151,CY138152
CDX16-1474,A/greylag goose/Iceland/1474/2011(H6N8),CY149452,CY149453,CY149454,CY149455,CY149456,CY149457,CY149458,CY149459
CDX16-1482,A/greylag goose/Iceland/1482/2011(H6N8),CY149460,CY149461,CY149462,CY149463,CY149464,CY149465,CY149466,CY149467
CDX16-0911,A/greylag goose/Iceland/0911/2011(H6N8),CY149468,CY149469,CY149470,CY149471,CY149472,CY149473,CY149474,CY149475
CDX16-0921,A/greylag goose/Iceland/0921/2011(H6N8),CY149476,CY149477,CY149478,CY149479,CY149480,CY149481,CY149482,CY149483
CDX16-0926,A/greylag goose/Iceland/0926/2011(H6N8),CY149492,CY149493,CY149494,CY149495,CY149496,CY149497,CY149498,CY149499
CDX16-0961,A/greylag goose/Iceland/0961/2011(H6N8),CY149516,CY149517,CY149518,CY149519,CY149520,CY149521,CY149522,CY149523
CDX16-0976,A/greylag goose/Iceland/0976/2011(H6N8),CY149524,CY149525,CY149526,CY149527,CY149528,CY149529,CY149530,CY149531
CDX16-0980,A/greylag goose/Iceland/0980/2011(H6N8),CY149532,CY149533,CY149534,CY149535,CY149536,CY149537,CY149538,CY149539
CDX16-0987,A/pink-footed goose/Iceland/0987/2011(H6N8),CY149540,CY149541,CY149542,CY149543,CY149544,CY149545,CY149546,CY149547
CDX16-1459,A/greylag goose/Iceland/1459/2011(H6N5),CY149444,CY149445,CY149446,CY149447,CY149448,CY149449,CY149450,CY149451
CDX16-0948,A/greylag goose/Iceland/0948/2011(H6N5),CY149500,CY149501,CY149502,CY149503,CY149504,CY149505,CY149506,CY149507
CDX16-0953,A/greylag goose/Iceland/0953/2011(H6N5),CY149508,CY149509,CY149510,CY149511,CY149512,CY149513,CY149514,CY149515
CDX16-1110,A/great black-backed gull/Iceland/1110/2011(H5N2),CY149348,CY149349,CY149350,CY149351,CY149352,CY149353,CY149354,CY149355
CDX16-1007,A/mallard/Iceland/1007/2011(H3N6),CY149332,CY149333,CY149334,CY149335,CY149336,CY149337,CY149338,CY149339
CDX16-1108,A/glaucous gull x herring gull/Iceland/1108/2011(H16N3),CY149340,CY149341,CY149342,CY149343,CY149344,CY149345,CY149346,CY149347
CDX16-1113,A/great black-backed gull/Iceland/1113/2011(H4N8),CY149356,CY149357,CY149358,CY149359,CY149360,CY149361,CY149362,CY149363
CDX16-1298,A/black-headed gull/Iceland/1298/2011(H10N5),CY149484,CY149485,CY149486,CY149487,CY149488,CY149489,CY149490,CY149491
CDX16-1124,A/Iceland gull/Iceland/1124/2011(H2N5),CY149364,CY149365,CY149366,CY149367,CY149368,CY149369,CY149370,CY149371
CDX16-1320,A/herring gull/Iceland/1320/2011(H2N5),CY149372,CY149373,CY149374,CY149375,CY149376,CY149377,CY149378,CY149379
CDX16-1342,A/herring gull/Iceland/1342/2011(H2N5),CY149380,CY149381,CY149382,CY149383,CY149384,CY149385,CY149386,CY149387
CDX16-1359,A/herring gull/Iceland/1359/2011(H2N5),CY149388,CY149389,CY149390,CY149391,CY149392,CY149393,CY149394,CY149395
CDX16-1382,A/glaucous gull/Iceland/1382/2011(H2N5),CY149396,CY149397,CY149398,CY149399,CY149400,CY149401,CY149402,CY149403
CDX16-1393,A/great black-backed gull/Iceland/1393/2011(H2N5),CY149404,CY149405,CY149406,CY149407,CY149408,CY149409,CY149410,CY149411
CDX16-1394,A/herring gull/Iceland/1394/2011(H2N5),CY149412,CY149413,CY149414,CY149415,CY149416,CY149417,CY149418,CY149419
CDX16-1395,A/great black-backed gull/Iceland/1395/2011(H2N5),CY149420,CY149421,CY149422,CY149423,CY149424,CY149425,CY149426,CY149427
CDX16-1436,A/herring gull/Iceland/1436/2011(H2N5),CY149428,CY149429,CY149430,CY149431,CY149432,CY149433,CY149434,CY149435
CDX16-1444,A/glaucous gull/Iceland/1444/2011(H2N5),CY149436,CY149437,CY149438,CY149439,CY149440,CY149441,CY149442,CY149443
CDX16-1585,A/lesser black-backed gull/Iceland/1585/2012(H2N7),MZ565570,MZ565571,MZ565572,MZ565573,MZ565574,MZ565575,MZ565576,MZ565577
CDX16-1597,A/lesser black-backed gull/Iceland/1597/2012(H2N7),MZ565578,MZ565579,MZ565580,MZ565581,MZ565582,MZ565583,MZ565584,MZ565585
CDX16-1629,A/lesser black-backed gull/Iceland/1629/2012(H2N7),MZ565586,MZ565587,MZ565588,MZ565589,MZ565590,MZ565591,MZ565592,MZ565593
CDX16-1638,A/lesser black-backed gull/Iceland/1638/2012(H2N7),MZ565594,MZ565595,MZ565596,MZ565597,MZ565598,MZ565599,MZ565600,MZ565601
CDX16-1642,A/lesser black-backed gull/Iceland/1642/2012(H2N7),MZ565602,MZ565603,MZ565604,MZ565605,MZ565606,MZ565607,MZ565608,MZ565609
CDX16-1792,A/lesser black-backed gull/Iceland/1792/2012(H2N7),MZ565618,MZ565619,MZ565620,MZ565621,MZ565622,MZ565623,MZ565624,MZ565625
CDX16-1853,A/lesser black-backed gull/Iceland/1853/2012(H2N7),MZ565634,MZ565635,MZ565636,MZ565637,MZ565638,MZ565639,MZ565640,MZ565641
CDX16-1876,A/lesser black-backed gull/Iceland/1876/2012(H2N7),MZ565642,MZ565643,MZ565644,MZ565645,MZ565646,MZ565647,MZ565648,MZ565649
