"State","County","Date Collected","Date Detected","HPAI Strain","Species"
"Alaska","North Slope","8/1/2025","10/30/2025","EA H5","Polar bear"
"Washington","Grant","10/15/2025","10/24/2025","EA H5","House mouse"
"Washington","Grant","10/15/2025","10/24/2025","EA H5","House mouse"
"Washington","Grant","10/15/2025","10/24/2025","EA H5","House mouse"
"Washington","Grant","10/15/2025","10/24/2025","EA H5","House mouse"
"Washington","Grant","10/15/2025","10/24/2025","EA H5","House mouse"
"Washington","Grant","10/15/2025","10/24/2025","EA H5","House mouse"
"Colorado","Larimer","10/10/2025","10/17/2025","EA H5","Black bear"
"North Dakota","Dickey","9/13/2025","9/24/2025","EA H5","House mouse"
"North Dakota","Dickey","9/12/2025","9/24/2025","EA H5","Thirteen-lined ground squirrel"
"California","Los Angeles","9/19/2025","9/23/2025","EA H5N1","Domestic cat"
"California","San Francisco","7/13/2025","8/29/2025","EA/AM H5N1","Domestic cat"
"Texas","Ochiltree","3/15/2025","8/1/2025","EA/AM H5N1","Domestic cat"
"Texas","Bexar","3/6/2025","8/1/2025","EA/AM H5N1","Domestic cat"
"Texas","Potter","3/25/2025","8/1/2025","EA/AM H5N1","Skunk (unidentified)"
"Texas","Randall","3/14/2025","7/8/2025","EA/AM H5N1","Skunk (unidentified)"
"Texas","Randall","3/13/2025","7/8/2025","EA/AM H5N1","Skunk (unidentified)"
"Texas","Randall","3/18/2025","7/8/2025","EA/AM H5N1","Skunk (unidentified)"
"Texas","Randall","2/24/2025","7/8/2025","EA/AM H5N1","Skunk (unidentified)"
"Texas","Ochiltree","2/24/2025","7/8/2025","EA/AM H5N1","Skunk (unidentified)"
"Texas","Ochiltree","2/22/2025","7/8/2025","EA H5","Skunk (unidentified)"
"Texas","Hansford","3/18/2025","7/8/2025","EA/AM H5N1","Skunk (unidentified)"
"Massachusetts","Suffolk","2/13/2025","7/8/2025","EA H5","Harbor seal"
"Oregon","Multnomah","7/1/2025","7/8/2025","EA H5N1","Domestic cat"
"Maine","Lincoln","6/19/2025","7/8/2025","EA H5","Harbor seal"
"Texas","Randall","3/4/2025","7/7/2025","EA H5","Raccoon"
"Texas","Parmer","6/5/2024","7/7/2025","EA/AM H5N1","Raccoon"
"New Jersey","Union","6/30/2025","7/3/2025","EA H5","Domestic cat"
"Virginia","Loudoun","3/31/2025","7/2/2025","EA H5","Red fox"
"New York","Bronx","1/27/2025","6/24/2025","EA/AM H5N1","Raccoon"
"Nevada","Washoe","3/20/2025","6/23/2025","EA/AM H5N1","Striped skunk"
"Arizona","Maricopa","6/8/2025","6/20/2025","EA H5","Round-tailed ground squirrel"
"California","Alameda","12/11/2024","6/16/2025","EA H5","Domestic cat"
"Arizona","Maricopa","5/31/2025","6/13/2025","EA H5","Desert cottontail"
"Colorado","Costilla","5/29/2025","6/12/2025","EA H5","Red fox"
"New York","Saratoga","1/6/2025","6/11/2025","EA H5","Muskrat"
"Washington","Walla Walla","11/19/2024","6/9/2025","EA H5N1","Raccoon"
"New York","Erie","5/22/2025","6/2/2025","EA H5","Red fox"
"South Dakota","Aurora","5/6/2025","5/15/2025","EA/AM H5N1","Domestic cat"
"Massachusetts","Norfolk","5/5/2025","5/13/2025","EA H5","Red fox"
"Kansas","Kearny","1/30/2025","5/8/2025","EA/AM H5N1","Bobcat"
"California","Modoc","4/13/2025","5/7/2025","EA H5","Mountain lion"
"New York","Madison","4/23/2025","5/1/2025","EA H5","Red fox"
"New York","Onondaga","4/23/2025","5/1/2025","EA H5","Gray fox"
"Idaho","Ada","4/15/2025","4/29/2025","EA H5","Domestic cat"
"New York","Tompkins","4/23/2025","4/29/2025","EA H5","Red fox"
"New York","Suffolk","4/9/2025","4/24/2025","EA H5","Raccoon"
"Colorado","Weld","4/15/2025","4/24/2025","EA H5","Striped skunk"
"California","Sutter","1/23/2025","4/24/2025","EA H5","Skunk (unidentified)"
"Washington","Stevens","1/14/2025","4/23/2025","EA/AM H5N1","Long-tailed weasel"
"Virginia","Loudoun","3/31/2025","4/21/2025","EA H5","Red fox"
"Colorado","Weld","4/9/2025","4/21/2025","EA H5","Striped skunk"
"Colorado","Bent","12/31/2024","4/21/2025","EA/AM H5N1","Striped skunk"
"Colorado","Weld","4/4/2025","4/15/2025","EA H5","Domestic cat"
"Virginia","Loudoun","3/31/2025","4/15/2025","EA/AM H5N1","Red fox"
"Texas","Lubbock","3/31/2025","4/11/2025","EA H5","Fox (unidentified)"
"Colorado","Larimer","3/29/2025","4/11/2025","EA/AM H5N1","Striped skunk"
"Minnesota","Anoka","12/28/2024","4/8/2025","EA H5N1","Fisher"
"Utah","Cache","3/31/2025","4/7/2025","EA H5","Skunk (unidentified)"
"Utah","Cache","3/31/2025","4/7/2025","EA H5","Skunk (unidentified)"
"California","Alameda","12/30/2024","4/4/2025","EA H5","Domestic cat"
"California","Orange","1/16/2025","4/2/2025","EA H5N1","Domestic cat"
"California","Orange","1/16/2025","4/2/2025","EA H5N1","Domestic cat"
"Ohio","Franklin","3/24/2025","4/2/2025","EA H5","American mink"
"Texas","Randall","3/28/2025","4/2/2025","EA H5","Skunk (unidentified)"
"Colorado","Morgan","3/25/2025","3/31/2025","EA H5","Domestic cat"
"Ohio","Franklin","2/14/2025","3/31/2025","EA H5","Domestic cat"
"Ohio","Franklin","2/14/2025","3/31/2025","EA H5","Domestic cat"
"Kansas","Crawford","3/21/2025","3/27/2025","EA H5","Domestic cat"
"Alaska","North Slope","9/17/2024","3/27/2025","EA H5","Arctic fox"
"New Mexico","Curry","2/24/2025","3/27/2025","EA/AM H5N1","Skunk (unidentified)"
"Texas","Deaf Smith","3/19/2025","3/27/2025","EA/AM H5N1","Skunk (unidentified)"
"Connecticut","Fairfield","2/18/2025","3/27/2025","EA/AM H5N1","Bobcat"
"Iowa","Cass","3/24/2025","3/26/2025","EA H5","Domestic cat"
"New Mexico","Curry","3/21/2025","3/26/2025","EA/AM H5N1","Skunk (unidentified)"
"Texas","Potter","3/21/2025","3/26/2025","EA/AM H5N1","Skunk (unidentified)"
"Pennsylvania","Berks","3/19/2025","3/26/2025","EA H5","Domestic cat"
"Illinois","Bond","3/21/2025","3/25/2025","EA H5","Domestic cat"
"Indiana","Jackson","2/25/2025","3/25/2025","EA H5N1","House mouse"
"New York","Putnam","2/21/2025","3/25/2025","EA H5","Red fox"
"Kentucky","Boone","1/22/2025","3/25/2025","EA/AM H5N1","Raccoon"
"New Mexico","Valencia","3/19/2025","3/25/2025","EA H5","Skunk (unidentified)"
"Iowa","O'Brien","2/19/2025","3/25/2025","EA H5","House mouse"
"Iowa","O'Brien","2/19/2025","3/25/2025","EA H5","House mouse"
"Colorado","Jefferson","3/16/2025","3/21/2025","EA H5","Domestic cat"
"Colorado","Jefferson","3/16/2025","3/21/2025","EA H5","Domestic cat"
"Texas","Potter","3/10/2025","3/21/2025","EA/AM H5N1","Domestic cat"
"Texas","Potter","3/10/2025","3/21/2025","EA/AM H5N1","Domestic cat"
