GNIS,FIPS,Name,State Name,Class Code,Primary Lat Dec,Primary Long Dec,Primary Point
2406291,0116312,Town of Coker,Alabama,C1,33.2448069,-87.6801783,POINT (-87.6801783 33.2448069)
1419970,02100,Haines,Alaska,H1,59.073878,-135.4725901,POINT (-135.4725901 59.073878)
2406929,577600,Town of Zinc,Arkansas,C1,36.2842724,-92.9142455,POINT (-92.9142455 36.2842724)
69179,05127,Scott,Arkansas,H1,34.8607653,-94.0632547,POINT (-94.0632547 34.8607653)
2406767,1377764,Town of Turin,Georgia,C1,33.3259604,-84.6370883,POINT (-84.6370883 33.3259604)
2396753,1848474,Town of Merom,Indiana,C1,39.0559645,-87.5672202,POINT (-87.5672202 39.0559645)
2396188,1859328,City of Peru,Indiana,C1,40.7585294,-86.0714124,POINT (-86.0714124 40.7585294)
471381,2027050,Gove,Kansas,C4,38.9577876,-100.4887486,POINT (-100.4887486 38.9577876)
2412890,4042450,Town of Leon,Oklahoma,C1,33.8773425,-97.4290455,POINT (-97.4290455 33.8773425)
2412569,4063750,Town of Roff,Oklahoma,C1,34.6288294,-96.8411237,POINT (-96.8411237 34.6288294)
2413427,4076950,Town of Vera,Oklahoma,C1,36.4240553,-95.893004,POINT (-95.893004 36.4240553)
1639779,47131,Obion,Tennessee,H1,36.3582457,-89.1487959,POINT (-89.1487959 36.3582457)
2419458,0265800,City of Saint George,Alaska,C1,56.5899146,-169.6281546,POINT (-169.6281546 56.5899146)
25445,04015,Mohave,Arizona,H1,35.7040449,-113.7579103,POINT (-113.7579103 35.7040449)
2404026,0113672,City of Centreville,Alabama,C1,32.9597122,-87.1333257,POINT (-87.1333257 32.9597122)
2404137,0515550,City of Cotton Plant,Arkansas,C1,35.0060744,-91.2520339,POINT (-91.2520339 35.0060744)
2410811,636000,City of Huntington Beach,California,C1,33.6908513,-118.0076426,POINT (-118.0076426 33.6908513)
2406042,541450,Town of Lonsdale,Arkansas,C1,34.5448112,-92.8104278,POINT (-92.8104278 34.5448112)
2412403,617988,Town of Danville,California,C1,37.8121399,-121.9698278,POINT (-121.9698278 37.8121399)
2411651,603092,Town of Atherton,California,C1,37.453852,-122.2031896,POINT (-122.2031896 37.453852)
2410242,0416410,City of Cottonwood,Arizona,C1,34.7193967,-112.001381,POINT (-112.001381 34.7193967)
2403504,0519600,City of Dover,Arkansas,C1,35.3912737,-93.1142921,POINT (-93.1142921 35.3912737)
2410875,643224,City of Los Alamitos,California,C1,33.7971799,-118.0593577,POINT (-118.0593577 33.7971799)
63757,05011,Bradley,Arkansas,H1,33.4664224,-92.1624016,POINT (-92.1624016 33.4664224)
2419441,0256600,City of Nunam Iqua,Alaska,C1,62.5098978,-164.9007045,POINT (-164.9007045 62.5098978)
2406005,539310,Town of Leola,Arkansas,C1,34.1701331,-92.5913857,POINT (-92.5913857 34.1701331)
2407230,0165472,Town of Rockford,Alabama,C1,32.8895699,-86.2150122,POINT (-86.2150122 32.8895699)
2403726,0527970,City of Grannis,Arkansas,C1,34.2392309,-94.3205923,POINT (-94.3205923 34.2392309)
2406488,0125648,Town of Falkville,Alabama,C1,34.3793312,-86.9085603,POINT (-86.9085603 34.3793312)
2405534,567370,City of Strong,Arkansas,C1,33.1079184,-92.3598569,POINT (-92.3598569 33.1079184)
2405406,562240,City of Salesville,Arkansas,C1,36.240803,-92.276531,POINT (-92.276531 36.240803)
2414236,6055300,Village of Matu‘u,American Samoa,C1,-14.3265802,-170.6692083,POINT (-170.6692083 -14.3265802)
2404175,0119336,City of Dadeville,Alabama,C1,32.8325875,-85.767494,POINT (-85.767494 32.8325875)
69168,05097,Montgomery,Arkansas,H1,34.5387934,-93.6595316,POINT (-93.6595316 34.5387934)
2410556,628000,City of Fullerton,California,C1,33.8840632,-117.9279081,POINT (-117.9279081 33.8840632)
2411250,651182,City of Newport Beach,California,C1,33.5966613,-117.8933009,POINT (-117.8933009 33.5966613)
161540,01029,Cleburne,Alabama,H1,33.6745579,-85.5187679,POINT (-85.5187679 33.6745579)
2409479,613945,City of Clearlake,California,C1,38.9589411,-122.633079,POINT (-122.633079 38.9589411)
2407041,551530,Town of Okolona,Arkansas,C1,34.0005324,-93.3376102,POINT (-93.3376102 34.0005324)
2404573,0162496,City of Prichard,Alabama,C1,30.7735593,-88.1301086,POINT (-88.1301086 30.7735593)
2412936,645358,Town of Mammoth Lakes,California,C1,37.6272627,-118.9899436,POINT (-118.9899436 37.6272627)
2406873,574930,Town of Whelen Springs,Arkansas,C1,33.8329996,-93.1260224,POINT (-93.1260224 33.8329996)
2411401,0454050,City of Peoria,Arizona,C1,33.7844021,-112.2989416,POINT (-112.2989416 33.7844021)
2405212,503940,Town of Bassett,Arkansas,C1,35.535807,-90.1293032,POINT (-90.1293032 35.535807)
2404515,0159640,City of Piedmont,Alabama,C1,33.9267145,-85.6156758,POINT (-85.6156758 33.9267145)
2419440,0256350,City of Nulato,Alaska,C1,64.7025726,-158.2514636,POINT (-158.2514636 64.7025726)
2404938,540120,City of Little Flock,Arkansas,C1,36.3853553,-94.1360953,POINT (-94.1360953 36.3853553)
2406027,0143648,Town of Littleville,Alabama,C1,34.5950669,-87.6719392,POINT (-87.6719392 34.5950669)
42808,04017,Navajo,Arizona,H1,35.3996292,-110.3214028,POINT (-110.3214028 35.3996292)
2404076,0514260,City of Clinton,Arkansas,C1,35.580124,-92.4540823,POINT (-92.4540823 35.580124)
161580,01107,Pickens,Alabama,H1,33.2808769,-88.0886926,POINT (-88.0886926 33.2808769)
2404332,547450,City of Mountain Pine,Arkansas,C1,34.5701593,-93.1721635,POINT (-93.1721635 34.5701593)
2406523,525060,Town of Fredonia (Biscoe),Arkansas,C1,34.818725,-91.4103882,POINT (-91.4103882 34.818725)
161529,01007,Bibb,Alabama,H1,32.9986443,-87.1264391,POINT (-87.1264391 32.9986443)
2405977,0140928,Town of Lake View,Alabama,C1,33.2815917,-87.1386337,POINT (-87.1386337 33.2815917)
2406349,517140,Town of Daisy,Arkansas,C1,34.2349297,-93.7405556,POINT (-93.7405556 34.2349297)
2403054,0100124,City of Abbeville,Alabama,C1,31.5664074,-85.2527809,POINT (-85.2527809 31.5664074)
2405472,564730,City of Smackover,Arkansas,C1,33.3639818,-92.731169,POINT (-92.731169 33.3639818)
2414252,6072900,Village of Swains,American Samoa,C1,-11.054387,-171.0749296,POINT (-171.0749296 -11.054387)
2419368,0213550,City of Chignik,Alaska,C1,56.3005913,-158.4089879,POINT (-158.4089879 56.3005913)
2418862,0277140,City of Thorne Bay,Alaska,C1,55.6648023,-132.5331608,POINT (-132.5331608 55.6648023)
2403962,0510300,City of Cabot,Arkansas,C1,34.9765306,-92.0268538,POINT (-92.0268538 34.9765306)
2406298,0116744,Town of Columbia,Alabama,C1,31.2967675,-85.1103088,POINT (-85.1103088 31.2967675)
2409430,612524,City of Ceres,California,C1,37.5953768,-120.9623696,POINT (-120.9623696 37.5953768)
2409459,613294,City of Chowchilla,California,C1,37.1094997,-120.2349449,POINT (-120.2349449 37.1094997)
2404452,552880,City of Oxford,Arkansas,C1,36.2090563,-91.9193678,POINT (-91.9193678 36.2090563)
2411596,639220,City of Laguna Hills,California,C1,33.5919278,-117.6991077,POINT (-117.6991077 33.5919278)
161542,01033,Colbert,Alabama,H1,34.7004337,-87.804984,POINT (-87.804984 34.7004337)
2407173,0163408,Town of Ranburne,Alabama,C1,33.5258526,-85.3390121,POINT (-85.3390121 33.5258526)
2405580,568810,City of Texarkana,Arkansas,C1,33.4364832,-93.9960747,POINT (-93.9960747 33.4364832)
2411145,648872,City of Monterey,California,C1,36.6012792,-121.8829442,POINT (-121.8829442 36.6012792)
2405565,0174688,City of Tallassee,Alabama,C1,32.5314478,-85.8911939,POINT (-85.8911939 32.5314478)
2406653,530700,Town of Hatfield,Arkansas,C1,34.4858771,-94.3791946,POINT (-94.3791946 34.4858771)
2406587,0130496,Town of Good Hope,Alabama,C1,34.1097051,-86.8650194,POINT (-86.8650194 34.1097051)
2405613,570430,City of Turrell,Arkansas,C1,35.3761603,-90.2708756,POINT (-90.2708756 35.3761603)
161584,01117,Shelby,Alabama,H1,33.2642778,-86.6606481,POINT (-86.6606481 33.2642778)
2407243,560770,Town of Rose Bud,Arkansas,C1,35.3254906,-92.0801683,POINT (-92.0801683 35.3254906)
2419395,0233140,City of Homer,Alaska,C1,59.6425196,-151.514541,POINT (-151.514541 59.6425196)
2414238,6056900,Village of Nua,American Samoa,C1,-14.3519168,-170.8074487,POINT (-170.8074487 -14.3519168)
2404813,536040,City of Judsonia,Arkansas,C1,35.2769702,-91.6410097,POINT (-91.6410097 35.2769702)
2410348,619612,City of Dos Palos,California,C1,36.9854234,-120.6338445,POINT (-120.6338445 36.9854234)
63755,05001,Arkansas,Arkansas,H1,34.2908084,-91.3749055,POINT (-91.3749055 34.2908084)
2406390,0121328,Town of Douglas,Alabama,C1,34.170436,-86.3224376,POINT (-86.3224376 34.170436)
1419967,02060,Bristol Bay,Alaska,H1,58.7310944,-156.9871705,POINT (-156.9871705 58.7310944)
2414206,6017700,Village of Aumi,American Samoa,C1,-14.3089905,-170.6398973,POINT (-170.6398973 -14.3089905)
2403926,0508950,City of Brinkley,Arkansas,C1,34.8895563,-91.1894844,POINT (-91.1894844 34.8895563)
2405880,0137312,Town of Ider,Alabama,C1,34.7021623,-85.6690403,POINT (-85.6690403 34.7021623)
2406164,0148808,Town of Millport,Alabama,C1,33.5585748,-88.0817071,POINT (-88.0817071 33.5585748)
2406146,545200,Town of Menifee,Arkansas,C1,35.1490438,-92.554826,POINT (-92.554826 35.1490438)
2409852,606798,City of Bishop,California,C1,37.3665343,-118.3958364,POINT (-118.3958364 37.3665343)
66865,05075,Lawrence,Arkansas,H1,36.0412483,-91.1070754,POINT (-91.1070754 36.0412483)
2410474,623182,City of Fairfield,California,C1,38.2592906,-122.031862,POINT (-122.031862 38.2592906)
2404751,534090,City of Huttig,Arkansas,C1,33.0418476,-92.1818425,POINT (-92.1818425 33.0418476)
71610,523650,Fiftysix,Arkansas,C4,35.9575734,-92.2184879,POINT (-92.2184879 35.9575734)
69161,05033,Crawford,Arkansas,H1,35.588831,-94.2431161,POINT (-94.2431161 35.588831)
2407012,0155440,Town of Notasulga,Alabama,C1,32.5569325,-85.6695359,POINT (-85.6695359 32.5569325)
2410213,615044,City of Compton,California,C1,33.892966,-118.2275068,POINT (-118.2275068 33.892966)
2414217,6029700,Village of Failolo,American Samoa,C1,-14.3486177,-170.8302643,POINT (-170.8302643 -14.3486177)
2404276,546190,City of Mitchellville,Arkansas,C1,33.9050685,-91.4983942,POINT (-91.4983942 33.9050685)
2409984,611194,City of Carlsbad,California,C1,33.1245546,-117.2835371,POINT (-117.2835371 33.1245546)
2403074,0100988,City of Albertville,Alabama,C1,34.2631166,-86.2105152,POINT (-86.2105152 34.2631166)
2410913,645246,City of Malibu,California,C1,34.036784,-118.7840785,POINT (-118.7840785 34.036784)
2412081,0474400,City of Tombstone,Arizona,C1,31.7188888,-110.0636996,POINT (-110.0636996 31.7188888)
2405595,569740,City of Tontitown,Arkansas,C1,36.1643527,-94.2457493,POINT (-94.2457493 36.1643527)
