Sample_Number,Waterbody,T1_Date,T2_Date,T3_Date,T4_Date,TI_Titer,T1,T2,T3,T4,KM_Criteria1,KM_Criteria2,KM_Criteria3,KM_Inclusion
12,E,2020-08-25,2020-10-30,2021-04-13,2021-07-01,1.8,H4N6,H4N6,NEG,NEG,Y,Y,Y,Y
12,A,2020-08-25,2020-10-26,2021-04-08,2021-06-24,,NEG,NEG,NEG,NEG,Y,Y,Y,Y
12,B,2020-08-25,2020-10-26,2021-04-08,2021-06-24,,H4N6,NEG,NEG,NEG,Y,Y,Y,Y
12,C,2020-08-25,2020-10-26,2021-04-08,2021-06-24,,H4N6,NEG,NEG,NEG,Y,Y,Y,Y
14,E,2020-08-25,2020-10-30,2021-04-14,2021-07-01,1.3,H3N8,NEG,NEG,NEG,N,,,N
14,D,2020-08-25,2020-10-27,2021-04-08,2021-06-25,,NEG,NEG,NEG,NEG,N,,,N
14,A,2020-08-25,2020-10-26,2021-04-08,2021-06-24,,NEG,NEG,NEG,NEG,N,,,N
14,B,2020-08-25,2020-10-26,2021-04-08,2021-06-24,,NEG,NEG,NEG,NEG,N,,,N
14,C,2020-08-25,2020-10-26,2021-04-08,2021-06-24,,NEG,NEG,NEG,NEG,N,,,N
30,E,2020-08-25,2020-10-30,2021-04-13,2021-07-01,4.4,H4N6,H4N6,H4N6,H4N6,Y,Y,Y,Y
30,D,2020-08-25,2020-10-27,2021-04-08,2021-06-25,,H4N6,NEG,H4N6,NEG,Y,Y,Y,Y
30,A,2020-08-25,2020-10-26,2021-04-08,2021-06-24,,H4N6,NEG,H4N8N6,NEG,Y,Y,Y,Y
30,B,2020-08-25,2020-10-26,2021-04-08,2021-06-24,,H4N6,H4N6,NEG,NEG,Y,Y,Y,Y
30,C,2020-08-25,2020-10-26,2021-04-08,2021-06-24,,H4N6,H4N6,H4N6,NEG,Y,Y,Y,Y
36,D,2020-08-25,2020-10-27,2021-04-08,2021-06-25,,H6N1,NEG,NEG,NEG,Y,Y,,Y
36,A,2020-08-25,2020-10-26,2021-04-08,2021-06-24,,H6N1,NEG,NEG,NEG,Y,Y,,Y
36,B,2020-08-25,2020-10-26,2021-04-08,2021-06-24,,H6N1,NEG,NEG,NEG,Y,Y,,Y
36,C,2020-08-25,2020-10-26,2021-04-08,2021-06-24,,H6N1,NEG,NEG,NEG,Y,Y,,Y
36,E,2020-08-25,2020-10-30,2021-04-13,,1.6,H6N1,NEG,NEG,NEG,Y,Y,,Y
41,C,2020-08-25,2020-10-26,2021-04-08,2021-06-24,,H3N8,NEG,NEG,NEG,Y,Y,,Y
41,E,2020-08-25,2020-10-30,2021-04-13,,1.6,H3N8,NEG,NEG,NEG,Y,Y,,Y
46,E,2020-08-26,2020-10-30,2021-04-13,2021-07-01,1.8,H4N6,H4N6,H4N6,NEG,Y,Y,Y,Y
46,D,2020-08-26,2020-10-27,2021-04-08,2021-06-25,,H4N6,NEG,NEG,NEG,Y,Y,Y,Y
46,A,2020-08-26,2020-10-26,2021-04-08,2021-06-24,,H4N6,NEG,NEG,NEG,Y,Y,Y,Y
46,B,2020-08-26,2020-10-26,2021-04-08,2021-06-24,,H4N6,NEG,NEG,NEG,Y,Y,Y,Y
46,C,2020-08-26,2020-10-26,2021-04-08,2021-06-24,,H4N6,NEG,NEG,NEG,Y,Y,Y,Y
86,E,2020-08-26,2020-10-30,2021-04-13,2021-07-01,1.8,H7N3,H7N3,H7N3,NEG,Y,Y,Y,Y
86,D,2020-08-26,2020-10-27,2021-04-08,2021-06-25,,H7N3,NEG,NEG,NEG,Y,Y,Y,Y
86,A,2020-08-26,2020-10-26,2021-04-08,2021-06-24,,H7N3,NEG,NEG,NEG,Y,Y,Y,Y
86,B,2020-08-26,2020-10-26,2021-04-08,2021-06-24,,H7N3,NEG,NEG,NEG,Y,Y,Y,Y
86,C,2020-08-26,2020-10-26,2021-04-08,2021-06-24,,H7N3,NEG,NEG,NEG,Y,Y,Y,Y
99,E,2020-08-31,2020-10-30,2021-04-13,2021-07-01,<0.8,H4N6,H4N5N6,NEG,NEG,Y,N,N,N
99,D,2020-08-31,2020-10-27,2021-04-08,2021-06-25,,H4N6,NEG,NEG,NEG,Y,N,N,N
99,A,2020-08-31,2020-10-26,2021-04-08,2021-06-24,,H12N6,NEG,NEG,NEG,Y,N,N,N
99,B,2020-08-31,2020-10-26,2021-04-08,2021-06-24,,H4N6,NEG,NEG,NEG,Y,N,N,N
99,C,2020-08-31,2020-10-26,2021-04-08,2021-06-24,,H4N6,NEG,NEG,NEG,Y,N,N,N
103,D,2020-08-31,2020-10-27,2021-04-08,2021-06-25,,H6N1,NEG,NEG,NEG,Y,N,N,N
103,B,2020-08-31,2020-10-26,2021-04-08,2021-06-24,,H6N1,NEG,NEG,NEG,Y,N,N,N
103,C,2020-08-31,2020-10-26,2021-04-08,2021-06-24,,H6N6,NEG,NEG,NEG,Y,N,N,N
103,E,2020-08-31,2020-10-30,2021-04-13,,1.6,H6N6,NEG,NEG,NEG,Y,N,N,N
107,E,2020-08-31,2020-10-30,2021-04-13,2021-07-01,1.6,H4N9,H4N9,NEG,NEG,Y,Y,Y,Y
107,D,2020-08-31,2020-10-27,2021-04-08,2021-06-25,,H4N9,NEG,NEG,NEG,Y,Y,Y,Y
107,A,2020-08-31,2020-10-26,2021-04-08,2021-06-24,,H4N9,NEG,NEG,NEG,Y,Y,Y,Y
107,B,2020-08-31,2020-10-26,2021-04-08,2021-06-24,,H4N9,NEG,NEG,NEG,Y,Y,Y,Y
107,C,2020-08-31,2020-10-26,2021-04-08,2021-06-24,,H4N9,NEG,NEG,NEG,Y,Y,Y,Y
110,E,2020-08-31,2020-10-30,2021-04-13,2021-07-01,<0.8,H6N1,H6N1,NEG,NEG,Y,Y,Y,Y
110,D,2020-08-31,2020-10-27,2021-04-08,2021-06-25,,H6N1,NEG,NEG,NEG,Y,Y,Y,Y
110,A,2020-08-31,2020-10-26,2021-04-08,2021-06-24,,H6N1,NEG,NEG,NEG,Y,Y,Y,Y
110,B,2020-08-31,2020-10-26,2021-04-08,2021-06-24,,H6N1,NEG,NEG,NEG,Y,Y,Y,Y
110,C,2020-08-31,2020-10-26,2021-04-08,2021-06-24,,H6N1,NEG,NEG,NEG,Y,Y,Y,Y
114,E,2020-08-31,2020-10-30,2021-04-13,2021-07-01,<0.8,H3H12N8N1,H3N8,NEG,NEG,N,,,N
115,E,2020-08-31,2020-10-30,2021-04-13,2021-07-01,<0.8,H6H12N1,H12N1N5,NEG,NEG,Y,Y,Y,Y
115,A,2020-08-31,2020-10-26,2021-04-08,2021-06-24,,H12N5N1,NEG,NEG,NEG,Y,Y,Y,Y
117,E,2020-08-31,2020-10-30,2021-04-13,2021-07-01,2.3,H4H6N6N1,H4N6,H4N6,NEG,Y,Y,Y,Y
